iden_num,geo_type,name,order_num,broadstreet_num,gov_body,amend,start_d,end_d,initial_emgcy,cont_emgcy,reopen,stay_home,curfew,mask_req,gather_ban,social_dist,bsns,restaurant,school,med_proc,travel,correc_fac,vaccine,notes
16000US0200065,City,"Adak, Alaska",Emergency Ordinance No. 20-2020-112,EO-2021-112,Executive Authority,0,04/21/2020,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
16000US0200065,City,"Adak, Alaska",Emergency Ordinance No. 20-2020-115,EO-2021-115,Executive Authority,1,04/24/2020,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
16000US0200065,City,"Adak, Alaska",Emergency Ordinance No. 20-2020-116,EO-2021-116,Executive Authority,0,07/31/2020,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
16000US0200065,City,"Adak, Alaska",Emergency Ordinance No. 20-2020-117,EO-2021-117,Executive Authority,0,09/28/2020,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
05000US08001,County,"Adams County, Colorado",First Ammended Public Health Order,PH-12-07-2020-A1,Public Health Department,0,11/07/2020,12/07/2020,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,"Public health order limiting gatherings, alcohol sales, and imposing a curfew in Adams County"
05000US08001,County,"Adams County, Colorado",Health Order,PH-10-16-2020-A,Public Health Department,0,10/16/2020,11/01/2020,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,Public health order discussing personal and regulated gatherings 
16000US3901000,City,"Akron, Ohio",EE 4-2020,EO-4-2020,Executive Authority,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
16000US3901000,City,"Akron, Ohio",214-2020,EO-214-2020-A,Executive Authority,0,07/13/2020,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,
16000US3901000,City,"Akron, Ohio",336-2020,EO-336-2020-A1,Executive Authority,1,11/17/2020,12/17/2020,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,
04000US01,State,ALABAMA,SOE #1,EO-03-13-2020,Executive Authority,0,03/13/2020,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
04000US01,State,ALABAMA,SHO-2,PH-03-17-2020,Public Health Department,0,03/17/2020,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,
04000US01,State,ALABAMA,EO-2,EO-03-18-2020,Executive Authority,0,03/18/2020,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,
04000US01,State,ALABAMA,EO-3,EO-03-20-2020,Executive Authority,0,03/20/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
04000US01,State,ALABAMA,EO-4,EO-03-23-2020,Executive Authority,0,03/23/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
04000US01,State,ALABAMA,EO-5,EO-03-26-2020,Executive Authority,0,03/26/2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"Alternative teaching methods, Emergency-services licensure extension, notaries, jails/arrests"
04000US01,State,ALABAMA,EO-6,EO-04-03-2020,Executive Authority,0,04/03/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
04000US01,State,ALABAMA,SHO-5,PH-04-03-2020-A1,Public Health Department,1,04/04/2020,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,stay at home order with exceptions
04000US01,State,ALABAMA,EO-7,EO-04-13-2020,Executive Authority,0,04/13/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Resumption of pardon and parole hearings
04000US01,State,ALABAMA,SHO-6,PH-04-28-2020-A1,Public Health Department,1,04/28/2020,05/15/2020,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,
04000US01,State,ALABAMA,SHO-3,PH-04-16-2020,Public Health Department,0,03/18/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,non-congregate sheltering for those at risk of covid
04000US01,State,ALABAMA,SHO-4,PH-04-17-2020,Executive Authority,0,03/28/2020,04/17/2020,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,
04000US01,State,ALABAMA,SHO-1,PH-03-16-2020,Executive Authority,0,03/16/2020,07/14/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
04000US01,State,ALABAMA,EO-8,EO-05-08-2020,Executive Authority,0,05/08/2020,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,
04000US01,State,ALABAMA,EO-9,EO-05-08-2020-A1,Executive Authority,0,05/08/2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,protection against eviction 
